id,detail_url,province_name,postal_code,bathrooms,bedrooms,size_interior,ammenities,type,price,address
26770052,/real-estate/26770052/13165-lakeshore-rd-wainfleet,Ontario,L0S1V0,1,2 + 1,,,House,"$875,000","13165 LAKESHORE RD|Wainfleet, Ontario L0S1V0"
26770053,/real-estate/26770053/0-oak-ridges-rd-hamilton-township,Ontario,K0K2E0,0,,,,,"$1,600,000","0 OAK RIDGES RD|Hamilton Township, Ontario K0K2E0"
26770047,/real-estate/26770047/119-1924-cedarhollow-blvd-london,Ontario,N5X0K3,3,3,,Picnic Area,Row / Townhouse,"$584,900","#119 -1924 CEDARHOLLOW BLVD|London, Ontario N5X0K3"
26770044,/real-estate/26770044/2005ph-15-glebe-st-cambridge,Ontario,N1S0C3,2,2,,"Storage - Locker, Party Room, Visitor Parking, Exercise Centre, Recreation Centre",Apartment,"$699,900","#2005PH -15 GLEBE ST|Cambridge, Ontario N1S0C3"
26770046,/real-estate/26770046/0-cavan-rd-hamilton-township,Ontario,K0K2E0,,,,,Unknown,"$799,900","0 CAVAN RD|Hamilton Township, Ontario K0K2E0"
26770045,/real-estate/26770045/1029-osprey-lane-south-frontenac,Ontario,K0H2L0,2,3,,,House,"$789,000","1029 OSPREY LANE|South Frontenac, Ontario K0H2L0"
26770038,/real-estate/26770038/1787-aldersbrook-rd-london-north-f,Ontario,N6G3E2,2,3,,,House,"$539,000","1787 ALDERSBROOK RD|London, Ontario N6G3E2"
26770039,/real-estate/26770039/106-2082-lumen-dr-london-south-a,Ontario,N6K0L3,3,3 + 0,,Storage - Locker,Row / Townhouse,"$1,188,000","#106 -2082 LUMEN DR|London, Ontario N6K0L3"
26770042,/real-estate/26770042/176-piccadilly-st-london,Ontario,N6A1S1,1,2,,,House,"$354,900","176 PICCADILLY ST|London, Ontario N6A1S1"
26770037,/real-estate/26770037/10-fox-run-hamilton-waterdown,Ontario,L8B0R6,2,3 + 0,,,Row / Townhouse,"$834,900","10 FOX RUN|Hamilton, Ontario L8B0R6"
26770031,/real-estate/26770031/23-southcott-crt-london-north-i,Ontario,N6G4Y6,3,3,,,House,"$6,479,900","23 SOUTHCOTT CRT|London, Ontario N6G4Y6"
26770034,/real-estate/26770034/121-2062-lumen-dr-london-south-a,Ontario,N6K0L3,3,2 + 0,,Storage - Locker,Row / Townhouse,"$819,900","#121 -2062 LUMEN DR|London, Ontario N6K0L3"
26770036,/real-estate/26770036/10-wright-st-welland,Ontario,L3B2K1,1,3,,,House,"$474,900","10 WRIGHT ST|Welland, Ontario L3B2K1"
26770036,/real-estate/26770036/10-wright-st-welland,Ontario,L3B2K1,1,3,,,House,"$474,900","10 WRIGHT ST|Welland, Ontario L3B2K1"
26770029,/real-estate/26770029/15-wiltshire-pl-guelph-west-willow-woods,Ontario,N1H8B1,3,3 + 1,,,House,"$1,299,900","15 WILTSHIRE PL|Guelph, Ontario N1H8B1"
26770030,/real-estate/26770030/32-fife-st-haldimand-haldimand,Ontario,N3W1J2,1,2 + 1,,,House,"$649,990","32 FIFE ST|Haldimand, Ontario N3W1J2"
26770027,/real-estate/26770027/815-18th-st-hanover-hanover,Ontario,N4N3B8,3,2 + 1,,,House,"$629,900","815 18TH ST|Hanover, Ontario N4N3B8"
26770028,/real-estate/26770028/8-noble-lane-st-thomas-se,Ontario,N5R0C4,3,3 + 2,,,House,"$849,900","8 NOBLE LANE|St. Thomas, Ontario N5R0C4"
26770024,/real-estate/26770024/2020-5th-ave-w-owen-sound-owen-sound,Ontario,N4K5C3,2,3,,,House,"$595,000","2020 5TH AVE W|Owen Sound, Ontario N4K5C3"
26770021,/real-estate/26770021/4-titan-crt-duttondunwich-dutton,Ontario,N0L1J0,2,3,,,House,"$829,990","4 TITAN CRT|Dutton/Dunwich, Ontario N0L1J0"
